Tue Jun 20 13:19:33 2023    output.prof

         5276138 function calls (5274851 primitive calls) in 16.856 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      3/1    0.000    0.000   16.856   16.856 {built-in method builtins.exec}
        1    0.008    0.008   16.856   16.856 <string>:1(<module>)
        1    5.926    5.926   16.848   16.848 /zfs/astrohe/ckarwin/COSI/COSIpy_Development/cosipy/cosipy/data_io/UnBinnedData.py:28(read_tra)
       14    0.168    0.012    4.482    0.320 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/scoords/attitude.py:288(shape)
       77    4.321    0.056    4.321    0.056 {built-in method numpy.asarray}
       97    0.000    0.000    3.334    0.034 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/coordinates/attributes.py:96(__get__)
 1028/817    0.002    0.000    3.156    0.004 {built-in method builtins.getattr}
       12    0.000    0.000    2.167    0.181 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/coordinates/sky_coordinate.py:286(__init__)
      6/3    0.000    0.000    2.045    0.682 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/coordinates/sky_coordinate.py:591(transform_to)
       45    0.001    0.000    2.011    0.045 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/coordinates/baseframe.py:294(__init__)
  1050912    1.193    0.000    1.396    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/tqdm/std.py:1212(update)
      6/3    0.000    0.000    1.352    0.451 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/coordinates/transformations.py:1461(__call__)
      9/3    0.000    0.000    1.351    0.450 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/coordinates/transformations.py:1250(__call__)
      9/3    0.000    0.000    1.347    0.449 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/coordinates/transformations.py:1398(_affine_params)
        1    0.000    0.000    1.346    1.346 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/scoords/spacecraft_frame.py:37(spacecraft_to_icrs)
       29    0.000    0.000    1.150    0.040 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/coordinates/baseframe.py:330(<dictcomp>)
  1050922    1.056    0.000    1.056    0.000 {method 'split' of 'str' objects}
  1055307    0.941    0.000    0.941    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/gzip.py:322(closed)
  1050922    0.931    0.000    0.931    0.000 {method 'strip' of 'str' objects}
  214/115    0.001    0.000    0.681    0.006 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/coordinates/sky_coordinate.py:829(__getattr__)
        7    0.000    0.000    0.670    0.096 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/coordinates/sky_coordinate_parsers.py:62(_get_frame_without_data)
   703327    0.618    0.000    0.618    0.000 {method 'append' of 'list' objects}
     4388    0.015    0.000    0.377    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/gzip.py:302(read1)
     4388    0.014    0.000    0.350    0.000 {method 'read1' of '_io.BufferedReader' objects}
     4388    0.041    0.000    0.337    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/_compression.py:66(readinto)
   128121    0.270    0.000    0.272    0.000 {built-in method numpy.array}
     4388    0.037    0.000    0.268    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/gzip.py:462(read)
        1    0.219    0.219    0.219    0.219 {built-in method gc.collect}
     4436    0.204    0.000    0.204    0.000 {method 'read' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.195    0.195 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/subprocess.py:1090(communicate)
        1    0.000    0.000    0.192    0.192 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/scoords/attitude.py:211(transform_to)
      114    0.001    0.000    0.180    0.002 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/tqdm/std.py:1339(refresh)
      115    0.001    0.000    0.179    0.002 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/tqdm/std.py:1478(display)
       11    0.000    0.000    0.163    0.015 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/coordinates/representation.py:845(represent_as)
       20    0.000    0.000    0.160    0.008 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/units/quantity.py:570(__array_ufunc__)
        7    0.000    0.000    0.160    0.023 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/coordinates/sky_coordinate_parsers.py:211(_parse_coordinate_data)
        5    0.000    0.000    0.158    0.032 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/coordinates/representation.py:2027(from_cartesian)
       20    0.157    0.008    0.157    0.008 {function Quantity.__array_ufunc__ at 0x7f1967bb09d0}
        1    0.000    0.000    0.156    0.156 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/scoords/attitude.py:264(as_axes)
        4    0.000    0.000    0.154    0.038 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/coordinates/sky_coordinate_parsers.py:359(_parse_coordinate_arg)
      345    0.001    0.000    0.154    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/tqdm/utils.py:333(disp_len)
      345    0.001    0.000    0.152    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/tqdm/utils.py:329(_text_width)
      345    0.038    0.000    0.151    0.000 {built-in method builtins.sum}
     4387    0.142    0.000    0.142    0.000 {method 'decompress' of 'zlib.Decompress' objects}
        1    0.086    0.086    0.119    0.119 /zfs/astrohe/ckarwin/COSI/COSIpy_Development/cosipy/cosipy/data_io/UnBinnedData.py:340(write_unbinned_output)
    44368    0.075    0.000    0.113    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/tqdm/utils.py:330(<genexpr>)
      115    0.001    0.000    0.108    0.001 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/tqdm/std.py:1164(__str__)
      115    0.005    0.000    0.105    0.001 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/tqdm/std.py:355(format_meter)
      115    0.001    0.000    0.070    0.001 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/tqdm/std.py:348(print_status)
      115    0.000    0.000    0.067    0.001 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/tqdm/utils.py:341(disp_trim)
        2    0.000    0.000    0.056    0.028 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/scoords/attitude.py:127(from_axes)
     4387    0.015    0.000    0.047    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/gzip.py:513(_add_read_data)
    44023    0.037    0.000    0.037    0.000 {built-in method unicodedata.east_asian_width}
       17    0.000    0.000    0.034    0.002 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/coordinates/representation.py:671(__init__)
       17    0.001    0.000    0.033    0.002 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/coordinates/representation.py:182(__init__)
       17    0.000    0.000    0.031    0.002 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/coordinates/representation.py:230(<listcomp>)
       18    0.000    0.000    0.031    0.002 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/coordinates/angles.py:664(__new__)
       18    0.000    0.000    0.029    0.002 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/coordinates/angles.py:686(wrap_angle)
       18    0.020    0.001    0.029    0.002 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/coordinates/angles.py:371(_wrap_at)
     4389    0.028    0.000    0.028    0.000 {built-in method zlib.crc32}
  743/342    0.003    0.000    0.027    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
